wavenumber,PS 0.1ppm-1,PS 0.1ppm-2,PS 0.1ppm-3,PS 0.5ppm-1,PS 0.5ppm-2,PS 0.5ppm-3,PS 1.0ppm-1,PS 1.0ppm-2,PS 1.0ppm-3,PS 5ppm-1,PS 5ppm-2,PS 5ppm-3,PS 10ppm-1,PS 10ppm-2,PS 10ppm-3,PS 50ppm-1,PS 50ppm-2,PS 50ppm-3,PS 100ppm-1,PS 100ppm-2,PS 100ppm-3,PS 200ppm-1,PS 200ppm-2,PS 200ppm-3
641.9,95.04,62.49,33.12,138.94,155.65,165.47,66.57,104.23,89.51,243.77,198.68,193.1,424.16,413.15,466.18,519.35,504.46,515.5,607.64,544.93,600.11,626.91,684.68,662.86
643.94,62.96,46.75,31.35,167.81,117.92,138.93,64.08,94.42,80.79,224.14,184.39,195.16,432.87,424.17,441.93,516.66,522.13,499.16,560.03,563.37,635.11,606.53,647.38,623.51
645.98,61.53,98.13,35.91,182.99,134.51,111.03,36.24,95.6,59.39,190.82,151.08,134.19,345.3,326.25,354.39,430.56,442.4,397.75,468.01,488.07,494.03,457.74,529.34,487.77
648.02,57.33,129.92,51.01,178.04,156.29,112.34,20.95,51.66,35.65,106.95,87.24,82.08,187.96,174.26,183.48,254.61,272.82,216.83,291.48,345.58,304.77,250.63,304.73,278.44
650.06,70,99.59,66.33,140.3,155.27,141.84,18.88,36.61,22.37,39.08,40.31,28.87,60.3,48.28,82.57,110.6,99.98,83.53,144.65,158.4,95.6,81.78,117.34,104.69
652.09,81.56,78.14,103.19,168.09,160.8,121.89,12.69,14.09,0,0,3.58,4.43,0,0,0,7.09,10.62,5.06,23.97,50.35,23.93,0,0,0
654.13,61.01,59.92,110.28,149.76,111.52,104.14,12.69,12.4,0,11.84,10.75,0,0,0,0,0,0,0,0,0,1.11,0,0,0
656.16,55.57,105.13,107.13,149.2,106.34,103.83,32.48,7.22,13.55,22.96,23.61,28.17,0,0,0,0,21.68,0,12.08,8.19,17.06,0,0,0
658.2,33.71,87.11,84.09,118.73,72.59,86.28,36.37,7.22,16.16,22.96,53.21,49.18,0,0,0,0,21.68,0,12.08,8.19,48.7,0,0,0
660.23,24.78,57.44,51.27,80.81,74.39,59.04,36.37,7.22,21.74,11.12,46.05,60.22,0,0,0,0,21.68,0,12.08,8.19,47.58,0,0,0
662.26,13,11.92,26.78,66.54,56.84,31.36,11.14,11.01,8.2,6.56,31.49,54.35,0,0,0,0,13.42,2.83,5.53,10.67,35.94,0,0,0
664.29,13,24.56,3.21,56.71,52.38,29.44,6.68,11.83,5.58,47.03,2.36,56.89,0,0,0,38.2,76.93,63.09,55.5,59.46,99.68,82.8,40.92,61.13
666.32,40.37,58.64,15.05,77.77,33.84,29.44,41.23,34.8,21.78,92.06,66.39,87.29,52.73,58.66,61.78,99.46,170.86,122.09,180.9,154.36,205.78,173.78,149.71,181.11
668.34,28.37,80.34,37.33,57.53,14.71,30.52,55.09,33.35,45.18,93.87,80.53,76.45,83.91,89.09,86.35,118.54,185.2,126.09,223.61,202.1,256.06,205.7,204.47,218.04
