wavenumber,PE 10ppm-1,PE 10ppm-2,PE 10ppm-3,PE 50ppm-1,PE 50ppm-2,PE 50ppm-3,PE 100ppm-1,PE 100ppm-2,PE 100ppm-3,PE 200ppm-1,PE 200ppm-2,PE 200ppm-3
688.57,573.89,628.11,478.18,313.13,259.32,256.46,163.37,147.48,138.72,175.34,195.01,183.31
690.58,584.1,544.47,427.05,270.91,258.55,227.22,148.09,128.77,98.35,125.51,185.52,145.65
692.6,532.31,491.5,378.25,261.99,219.77,175.3,77.13,129.06,65.31,76.68,150.37,107.99
694.61,479.08,485.41,357.33,278.27,177.19,157.59,75.39,95.22,65.31,43.06,102.77,77.33
696.63,462.29,466.43,351.19,261.3,122.7,131.97,20.42,44.05,39,28.36,43.28,34.07
698.64,477.04,467.33,360.27,247.87,108.75,164.23,78,56.53,53.82,65.74,72.67,55.29
700.65,528.25,508.66,401.78,295.85,176.56,221.25,178.36,130.79,143.09,120.58,140.51,164.16
702.66,549,561.22,401.51,335.04,237.91,249.48,273.27,199.03,211.15,185.17,208.56,224.62
704.67,539.41,579.77,379.91,332.53,257.57,243.36,237.85,216.16,188.63,170.89,189.28,221.49
706.68,484.15,516.97,294.96,288.33,202.54,171.56,172.09,165.95,149.76,147.94,137,128.7
708.69,470.21,470.17,294.33,284.11,177.5,154.75,122.66,140.74,153.23,137.32,103.37,81.9
710.69,449.6,409.02,284.37,267.86,195.11,128.92,117.22,108.86,163.02,88.7,83.08,29.74
712.7,440.54,370.75,298.62,250.48,232.92,145.97,81.35,73.39,125.71,71.63,63.01,18.15
714.7,369.92,324.25,233.31,232.18,228.16,135.78,32.53,30.37,54.18,17.66,25.91,4.49
716.71,349.61,291.74,195.98,233.19,177.72,145.58,7.45,0,13.09,14.82,2.39,4.49
718.71,321.75,285.66,181.43,219.95,126.04,158.15,0,0,0,0,0,0
720.71,317.2,305.56,172.86,182.36,129.67,168.7,0,0,0,0,0,0
722.71,304.43,343.57,224.06,184.19,146.07,152.01,0,26.16,41.23,3.14,0,4.61
724.71,372.53,384.11,269.8,235.21,237.01,184.54,46.16,90.1,111.14,42.25,39.99,41.35
726.71,442.84,405.2,343.09,264.43,225.15,236.94,84.81,92.93,119.83,49.77,40.95,52.67
728.71,478.13,383.6,285.36,282.63,258.28,292.33,86.52,83.06,78.6,47.8,48.1,48.06
730.7,472.98,354.55,217.85,250.36,220.61,262.93,40.35,19.12,20.63,8.69,8.11,11.32
732.7,463.36,303.03,165.87,192.96,221.15,199.74,1.7,16.29,11.94,1.16,7.15,0
