wavenumber,PE 10ppm-1,PE 10ppm-2,PE 10ppm-3,PE 50ppm-1,PE 50ppm-2,PE 50ppm-3,PE 100ppm-1,PE 100ppm-2,PE 100ppm-3,PE 200ppm-1,PE 200ppm-2,PE 200ppm-3
825.35,322.52,299.43,264.62,233.82,245.33,233.34,438.76,427.01,417.71,364.39,344,255.49
827.29,311.92,270.8,284.44,240.58,231.72,205.72,426.43,407.39,406.73,323.88,374.69,275.56
829.24,264.26,310.1,280.52,244.23,244.33,209.33,394.66,358.98,383.64,294.33,364.34,274.92
831.18,279.75,316.22,304.76,251.33,242.72,223.05,391.99,361.35,373.33,349.63,338.84,313.45
833.13,232.28,293.38,315.04,223.42,208.44,221.43,351.33,335.72,341.34,300.02,293.07,262.38
835.07,254.41,282.14,307.91,218.4,210.72,200.04,342.22,335.64,342.58,292.37,324.6,232.92
837.01,235.7,277.05,277.61,201.5,224.11,226.09,318.89,328.68,358.6,319.57,355.98,289.31
838.95,245.13,281.45,279.45,186.37,216.61,212.25,322.67,317.16,342.06,372.96,382.87,308.2
840.89,270.49,249.77,294.56,208.47,222.34,235.31,340.67,339.19,342.41,421.64,375.05,382.04
842.83,250.9,234.81,300.03,199.57,211.73,203.36,359.01,327.56,340.76,387.4,335.97,315.61
844.77,269.79,238.99,332.33,208.45,241.9,221.19,367.79,326.37,385.23,400.34,308.73,342.01
846.71,279.6,259.77,350.55,202.21,232.96,217.58,365.13,309.74,386.58,402.24,318.11,362.37
848.64,328.01,283.81,322.71,225.54,246.58,246.19,358.36,347,402.48,422.77,378.79,431.67
850.58,321.24,294.67,305.67,253.31,250.31,247.25,383.37,411.38,407.17,430.81,448.64,450.81
852.51,338.18,332.56,295.68,291.75,286.37,298.31,422.05,459.08,448.19,445.93,506.89,435.34
854.44,350.48,309.17,318.06,334.86,277.44,318.37,482.73,478.12,468.21,479.44,516.53,386.27
856.37,355.49,311.14,326.47,336.3,307.84,343.76,487.74,466.83,496.23,482.7,525.25,392.92
858.31,317.09,286.37,289.14,329.96,302.47,337.38,484.98,491.76,516.15,430.24,451.25,390.51
860.23,283.06,278.64,292.52,310.97,326.43,340,472.22,493.03,507.4,408.18,409.31,427.83
862.16,296.96,275.84,261.82,318.53,328.95,331.18,487.36,507.86,488.2,391.42,327.99,434.76
864.09,321.01,251.19,281.94,296.87,308.59,300.47,457.94,464.8,428.45,375.83,317.51,442.86
866.02,316.42,233.24,248.09,258.21,254.56,247.43,393.85,410.74,376.71,316.65,331.43,319.69
867.94,286.87,203.32,251.27,201.89,186.86,221.4,325.11,334.35,315.3,256.52,298.08,233.9
869.87,236.25,184.34,210.39,149.8,124.73,197.25,259.25,260.52,264.78,212.02,239.68,109.39
871.79,185.55,181.61,160.76,116.93,98.15,160.67,210.96,200.92,210.16,141.15,149.89,146.83
873.71,132.78,133.8,104.05,97.28,87.47,126.97,150.55,174.87,156.42,107.55,114.72,92.54
875.64,80.04,94.7,93.04,79.97,77.79,88.28,112.82,161.49,109.69,70.62,73.76,76.83
877.56,57.44,100.74,92.85,79.78,73.89,71.71,91.2,153.57,109.74,47.94,30.83,16.91
879.48,44.66,113.93,69.47,65.37,40.81,40.91,75.37,121.42,102.57,2.79,6.48,0
881.39,36.78,103.05,33.68,56.18,26.66,35.34,79.76,90.5,120.96,2.79,12.51,0
883.31,14.6,35.11,14.68,27.34,0,25.44,73.82,55.59,99.69,0,6.03,0
885.23,0,10.52,3.34,23.05,12.96,31.1,82.11,62.56,116.98,0,6.03,0
887.14,0,6.64,0,40.76,23.89,51.1,75.74,66.21,110.61,0,0,0
889.06,0,6.64,0,50.7,25.24,42.62,70.27,75.75,116.46,0,0,0
890.97,4.56,12.82,0,79.43,26.25,42.29,79.91,86.75,111.1,0,0,0
892.88,4.56,12.82,0,55.68,26.05,11.75,84.66,92.86,94.52,0,0,0
894.8,4.56,12.82,0,62.41,34.08,19.13,87.31,75.52,73.49,0,0,0
896.71,0,0,0,32.15,27.45,14.15,51.02,31.2,35.92,0,0,0
898.62,0,0,26.79,38.26,16.72,15.61,51.46,3.66,19.68,0,0,0
900.52,0,0,26.79,17.34,9.43,10.98,50.8,17.01,35.35,0,0,0
902.43,0,0,29.5,8.44,2.08,7.96,50.8,19.48,60.02,0,0,0
904.34,2.26,7.37,20.88,8.42,2.08,2.74,28.04,29.4,78.92,0,5.18,0
906.24,2.26,7.37,20.88,15.86,0,0,2.04,29.11,59.6,7.25,26.39,0
908.15,2.26,30.67,38.66,15.86,9.46,10.1,6.37,30.04,50.18,11.98,34.33,5.52
910.05,7.46,33.85,33.26,21.63,9.46,13.3,13.07,42.09,26.87,36.34,30.93,31.26
911.95,67.29,50,84.65,26.19,9.46,20.26,27.91,27.6,42.68,29.09,22.37,34.25
913.86,90.3,33.91,64.16,26.19,0,10.16,30.3,23.49,30.05,24.35,14.44,28.74
915.76,82.84,54.41,68.07,14.32,3.53,6.96,21.55,4.12,30.05,1.32,12.65,2.99
917.66,72.27,38.26,16.68,0,14.07,0,15.4,3.16,2.63,1.32,0,0
919.55,62.18,37.83,21.79,1.24,14.07,0,19.37,8.64,0,1.32,0,0
921.45,62.18,9.76,5.11,5.84,10.53,2.14,19.37,5.48,0,0,0,0
923.35,33.37,9.76,5.11,5.84,0,2.14,16.24,5.85,0,0,0,8.95
925.24,53.81,2.99,5.29,4.59,1.65,2.14,5.56,10.3,0,5.88,0,8.95
927.14,53.81,0,5.29,0,1.65,0,5.56,10.3,0,5.88,0,8.95
929.03,33.35,0,5.29,0,3.21,0,2.68,9.93,0,5.88,0,0
930.92,0,0,0,0,7.91,0,2.68,0,0,0,0,0
932.81,0,0,0,3.17,7.91,0,2.68,0,0,0,0,0
934.7,0,0,0,3.17,6.35,0,0,0,0,0,0,0
936.59,0,0,0,3.17,0,0,0,0,0,0,0,0
938.48,0,0,0,0,0,0,0,0,0,0,0,0
940.37,0,0,0,0,0,0,0,0,0,0,0,0
942.25,0,0,0,0,0,0,0,0,0,0,0,0
944.14,0,0,0,0,0,0,0,0,0,0,0,0
946.02,0,0,0,0,0,0,0,0,0,0,0,0
947.91,0,0,0,0,0,0,0,0,0,0,0,0
949.79,0,0,0,0,0,0,0,0,0,0,0,0
951.67,0,0,0,0,0,0,0,0,0,0,0,0
953.55,0,0,0,0,0,0,0,0,0,0,0,0
955.43,0,0,0,0,0,0,0,0,0,0,0,0
957.31,0,0,0,0,0,0,0,0,0,0,0,0
959.18,0,0,0,0,0,0,0,0,0,0,0,0
961.06,0,0,0,0,0,0,0,0,0,0,0,0
962.94,0,0,0,0,0,0,0,0,0,0,0,0
964.81,0,0,0,0,0,0,0,0,0,0,0,0
966.68,0,0,0,0,0,0,0,0,0,0,0,0
968.55,0,0,0,0,0,0,0,0,0,0,0,0
970.43,0,0,0,0,0,0,0,0,0,0,0,0
972.3,0,0,0,0,0,0,0,0,0,0,0,0
974.16,0,0,0,0,0,0,0,0,0,0,0,0
976.03,0,0,0,0,0,0,0,0,0,0,0,0
977.9,0,0,0,0,0,0,0,0,0,0,0,0
979.76,0,0,0,0,0,0,0,0,0,0,0,0
981.63,0,0,0,0,0,0,0,0,0,0,0,0
983.49,0,0,0,0,0,0,0,0,0,0,0,0
985.36,0,0,0,0,0,0,0,0,0,0,0,0
