wavenumber,PS_PLA 10ppm-3,PS_PLA 10ppm-2,PS_PLA 10ppm-1,PS_PLA 50ppm-1,PS_PLA 50ppm-2,PS_PLA 50ppm-3,PS_PLA 100ppm-1,PS_PLA 100ppm-2,PS_PLA 100ppm-3,PS_PLA 200ppm-1,PS_PLA 200ppm-2, PS_PLA 200ppm-3
883.31,78.21,43.65,55.3,69.21,41.02,68.19,83.16,56.38,68.72,109.14,82.66,98.11
885.23,36.7,15.74,28.74,18.05,4.74,34.19,23.17,3.59,3.95,21.17,2.44,33.83
887.14,5.56,25.76,9.77,35.15,31.73,35.79,0,12.28,3.95,44.84,2.4,18.44
889.06,27.9,41.81,18.42,42.42,31.73,50.07,13.27,54.71,29.88,75.38,36.49,41.8
890.97,68.84,78.24,61.19,86.19,76.14,71.43,86.51,100.4,81.23,111.53,86.07,92.16
892.88,99.7,53.6,77.33,94.89,81.27,76.5,125.32,112.65,112.47,135.1,132.85,146.01
894.8,91.93,51.21,86.29,119.07,124.01,100.74,136.43,133.75,112.41,166.53,150.03,157.04
896.71,55.2,30.86,34.25,98.98,91.34,84.68,115.95,132.27,77.09,141.03,145.96,145.49
898.62,58.5,58.65,22.62,111.59,100.39,121.34,153.55,163.19,100.84,145.62,179.65,138.68
900.52,75.07,79.93,27.58,105.82,113.7,149.6,224.44,179.74,150.23,173.51,208.63,163.84
902.43,109.79,103.36,72.71,134.2,152.51,191.03,251.53,223.15,215.47,257.59,278.48,190.85
904.34,149.88,127.16,127.85,156.96,172.7,188.5,285.36,273.3,268.45,311.75,311.74,255.95
906.24,159.79,146.11,154.48,189.88,190.72,182.46,293.04,304.98,295.29,329.44,344.53,316.57
908.15,167.19,151.21,165.93,239.63,221.56,205.59,324.58,336.84,334.64,364.99,378.52,381.06
910.05,140.95,146.69,157.75,244.09,247.78,267.1,308.86,339.12,345.41,369.29,379.25,375.62
911.95,168.32,176.76,173.83,235.16,252.61,288.54,308.44,343.69,385.81,392.9,388.63,374.15
913.86,157.28,161.75,174.17,181.5,230.71,249.93,271.32,322.57,363.85,363.14,354.98,339.33
915.76,127.16,141.68,177.11,146.78,208.75,203.92,256.5,291.41,335.51,342.36,320.98,308.14
917.66,95.32,90.87,141.31,138,181.4,159.85,219.99,235.89,286.48,313.55,284.28,253.58
919.55,100.29,99.55,110.66,148.38,167.53,144.94,222.33,215.9,225.97,290.93,256.44,246.23
921.45,112.85,128.49,109.28,203.03,157.61,138.97,208.64,229.87,226.43,318.96,257.92,267.84
923.35,121.69,133.35,139.82,199.63,180.62,160.61,197.58,234.14,220.52,315.63,273.37,260.76
925.24,140.23,125.26,138.07,201.93,197.36,160.63,190.27,173.49,270.02,277.71,240.24,235.44
927.14,128.14,108.21,84.54,168.96,157.81,122.36,178.7,130.26,196.6,196.55,208.19,136.53
929.03,105.66,113.76,34.44,145.93,115.86,93.04,154.44,104.66,157.15,144.36,117.8,110.92
930.92,57.54,114.02,28.37,125.28,80.97,77.11,111.92,105.14,98.44,126.26,113.15,92.74
932.81,72.81,98.98,53.5,112.01,109.79,91.55,102.49,83.37,133.49,153.91,133.93,120.3
934.7,71.67,82.54,63.4,106.02,111.55,119.94,123.35,102.9,164.49,188.87,182.68,134.84
936.59,76.69,62.26,82.46,98.85,109.48,131.82,133.07,138.96,193.36,241.7,198.64,142.92
