wavenumber,PMMA 10ppm-1,PMMA 10ppm-2,PMMA 10ppm-3,PMMA 50ppm-1,PMMA 50ppm-2,PMMA 50ppm-3,PMMA 100ppm-1,PMMA 100ppm-2,PMMA 100ppm-3,PMMA 200ppm-1,PMMA 200ppm-2,PMMA 200ppm-3
887.14,0,0,0,0,0,14.89,0,0,0,0,0,0
889.06,0,0,0,0,0,14.89,0,0,0,0,0,0
890.97,0,0,0,17.53,0,0,0,4.3,0,0,0,0
892.88,0,0,0,17.53,0,0,0,4.3,0,0,0,0
894.8,0,0,0,17.94,0,0,0,4.3,0,0,0,0
896.71,0,0,0,19.73,18.8,14.72,0,32.17,0,0,0,0
898.62,0,0,0,51.21,41.05,14.72,0,32.17,41.75,0,0,0
900.52,0,0,0,53.69,41.05,14.72,16.08,52.78,64.61,34.69,4.32,0
902.43,3.86,0,0,34.37,22.25,18.6,32.22,20.61,74.68,34.69,4.32,0
904.34,39.53,0,0,43.66,27.74,32.81,73.21,50.93,66.68,44.78,6.44,12.37
906.24,39.53,0,0,51.68,47.23,66.75,77.1,50.84,84.04,18.46,19.87,35.12
908.15,35.67,0,0,65.09,51.19,69.17,95.92,79.9,106.32,33.14,50.95,56.96
910.05,0,0,13.95,48.91,34.88,74.44,59.2,61.88,117.08,47.75,65.63,56.89
911.95,0,22.87,13.95,67.81,53.64,86.78,49.86,97.88,114.86,113.48,52.09,82.93
913.86,17.91,24.56,13.95,58.88,53.24,87.63,23.98,132.36,90.79,100.79,55.12,104.2
915.76,30.83,26.2,19.59,79.91,43.81,68.16,65.03,166.43,46.28,111.78,38.83,120.14
917.66,33.13,6.95,19.59,94.9,6.33,44.92,74.33,136.08,65.38,37.68,95.88,110.75
919.55,15.22,15.12,19.59,106.96,5.58,47.75,83.33,84.1,104.17,46.15,87.05,97.15
921.45,23.77,13.48,0,80.2,3.59,51.04,64.81,71.59,143.46,10.45,86.55,68.91
923.35,27.42,9.86,0,63.51,12.09,41.45,52.64,73.11,115.42,30.39,72.06,53.3
925.24,27.42,0,0,65.21,9.28,33.26,43.84,74,68.35,31.68,46.78,43.81
927.14,5.94,0,10.36,46.35,9.28,54.47,17.04,40.15,29.06,32.48,46.78,43.81
929.03,0,0,10.36,31.19,1.65,50.75,13.97,12.45,17.78,12.55,0,30.21
930.92,0,0,10.36,12.94,7.9,34.23,16.38,0,20.71,0.81,0,10.2
932.81,0,0,0,12.94,7.9,15.64,16.38,7.11,31.13,0,0,10.2
934.7,0,0,0,0,13.69,7.01,23.62,20.69,13.35,0,0,6.16
