wavenumber,PLA 100ppm-1,PLA 100ppm-2,PLA 100ppm-3,PLA 200ppm-1,PLA 200ppm-2,PLA 200ppm-3
1347.55,68.51,47.47,41.14,209.98,189.34,208.96
1349.2,71.53,32.53,51.76,234.79,162.92,168.1
1350.86,69.89,36.27,50.05,224.27,156.83,155.58
1352.51,52.31,21.24,43.58,181.31,184.31,168.62
1354.16,30.09,22.55,33.45,171.01,177.45,206.65
1355.81,26.58,36.75,43.88,139.93,178.81,202.24
1357.46,63.03,60.74,66.43,171.63,173.28,189.95
1359.1,83.59,47.19,71.09,171.44,183.87,182.43
1360.75,89.88,45.86,84.99,179.14,188.34,185.47
1362.4,61.18,24.54,77.57,161.84,162.48,159.51
1364.04,57.49,49.21,59.31,142.87,147.96,138.55
1365.68,55.8,67.9,48.9,155.24,101.77,97.92
1367.33,64.12,80.26,59.82,168.6,102.24,92.62
1368.97,75.22,95.4,70.04,201.4,115.49,96.11
1370.61,49.34,75.89,66.76,196.87,138.07,120.92
1372.25,82.34,104.94,65.71,209.56,179.21,138.96
1373.89,98.57,104.54,98.22,218.14,175.57,152.88
1375.53,106.92,112.93,131.85,236.83,203.7,172.92
1377.16,102.5,133.89,149.71,215.73,187.39,183.84
1378.8,79.31,101.73,106.98,168.52,176.63,158.65
1380.43,80.9,72.51,50.49,135.76,173.65,143.9
1382.07,37.49,33.15,1.03,134.32,124.66,128.82
1383.7,18.31,25.88,4.95,123.77,107.23,99.62
1385.33,31.81,46.26,19.43,127.22,78.8,89.42
1386.96,55.64,49.47,45.54,140.99,105.7,118.56
1388.59,97.92,82.59,67.44,173.21,118.37,139.46
1390.22,98.99,87.36,70.79,191.87,137.48,125.81
1391.85,91.39,72.47,43.65,168.85,148.59,79.16
1393.47,76.35,65.14,23.57,155.06,127.92,81.06
1395.1,56.76,73.25,6.6,145.37,117.69,89.4
1396.72,67.62,66.49,6.6,133.46,88.23,68.85
1398.35,49.04,53.28,0.86,97.09,95.66,40.68
1399.97,53.69,26.63,0,91.61,84.64,5.62
1401.59,52.01,19.2,0,84.79,78.95,25.5
1403.21,41.52,6.62,0,72.08,81.03,46.99
1404.83,54.62,0,0,28.19,79.78,60.92
1406.45,45.06,0,0,20.8,83.19,47.9
1408.07,45.06,11.42,11.8,48.62,63.48,26.41
1409.68,36.84,42,14.74,73.07,62.21,48.71
1411.3,38.4,58.86,40.27,99.77,59.38,42.79
1412.91,38.4,58.46,36.8,82.47,77.21,60.22
1414.53,21.64,38.06,72,79.49,68.37,39.96
1416.14,7.76,39.56,60.76,84.73,72.74,61.57
1417.75,18.6,44.95,80.42,91.52,75,69.74
1419.36,31.28,42,57.07,101.31,63.92,78.24
1420.97,28.31,40.06,66.73,81.42,66.17,71.39
1422.58,26.78,47.57,53.84,83.63,79.19,53.65
1424.19,23.47,44.63,55.84,83.73,74.09,51.8
1425.79,21.66,40.59,31.9,66.7,76.87,31.49
1427.4,33.36,16.67,51.24,76.78,67.42,55.96
1429,21,20.74,52.91,59.19,94.64,62.75
1430.6,21,10.48,89.1,77.92,102.84,96.87
1432.21,19.93,27.43,90.34,100.53,98.6,104.53
1433.81,19.93,37.06,90.92,142.81,72.01,93.86
1435.41,40.75,40.14,69.94,152.85,60.2,82.96
1437.01,39.35,34.77,46.85,118.1,67.6,87.94
1438.61,62.04,37.85,52.54,114.46,95.1,122.69
1440.2,68.31,51.82,46.13,98.7,90.15,142.65
1441.8,60.92,72.46,35.05,109.93,95.86,126.27
